rank,SASRec,BERT4Rec,"gSASRec (256 negatives, t=1.0)",SASRec-SSM
1,0.9962993264198303,0.07628560811281204,0.02461567521095276,0.9312140941619873
2,0.9960111379623413,0.07492898404598236,0.024595441296696663,0.9270257949829102
3,0.9953675270080566,0.06011098250746727,0.024374259635806084,0.9154927730560303
4,0.9940019249916077,0.04833885282278061,0.02386031486093998,0.9142910242080688
5,0.9939729571342468,0.03850497677922249,0.020771915093064308,0.9125044345855713
6,0.9937264919281006,0.025840628892183304,0.020166857168078423,0.8657658696174622
7,0.9933475852012634,0.024248888716101646,0.019676482304930687,0.8649804592132568
8,0.9930849075317383,0.022196544334292412,0.019475996494293213,0.8588634729385376
9,0.9928366541862488,0.021916911005973816,0.01841721683740616,0.858139157295227
10,0.9907249808311462,0.021094730123877525,0.018241465091705322,0.8574989438056946
11,0.9903040528297424,0.020519258454442024,0.017095057293772697,0.8571248054504395
12,0.9898966550827026,0.016817471012473106,0.01655018888413906,0.8521184921264648
13,0.9898865222930908,0.015098543837666512,0.016283554956316948,0.8498931527137756
14,0.9894233345985413,0.014712878502905369,0.013432986102998257,0.8470163345336914
15,0.9891701340675354,0.012973029166460037,0.012921992689371109,0.8429925441741943
16,0.9887431859970093,0.012805947102606297,0.011900542303919792,0.842408299446106
17,0.9878990054130554,0.012181154452264309,0.01108340173959732,0.8368272185325623
18,0.9877423048019409,0.0119493892416358,0.011058546602725983,0.8349276781082153
19,0.9865593910217285,0.011712854728102684,0.010883375070989132,0.8332569003105164
20,0.9857596755027771,0.011084066703915596,0.01068724226206541,0.8289201259613037
21,0.9842228293418884,0.01017608493566513,0.009810390882194042,0.8249040246009827
22,0.9837918281555176,0.009816053323447704,0.009565455839037895,0.8158537149429321
23,0.983677864074707,0.009681413881480694,0.009541529230773449,0.8137340545654297
24,0.9835057854652405,0.008400844410061836,0.009324110113084316,0.8119351863861084
25,0.9830285310745239,0.00801815278828144,0.009234482422471046,0.8109909296035767
26,0.9828796982765198,0.007900843396782875,0.009206432849168777,0.807438313961029
27,0.9825626611709595,0.007314005400985479,0.00910755805671215,0.8070449233055115
28,0.9812798500061035,0.0066872863098979,0.008909568190574646,0.8001241683959961
29,0.9810371994972229,0.006570960395038128,0.00873919390141964,0.7994939684867859
30,0.9790498614311218,0.00636162469163537,0.008718650788068771,0.788096010684967
31,0.9787272810935974,0.0059343986213207245,0.008424612693488598,0.7865423560142517
32,0.9784901738166809,0.005819236859679222,0.008338971994817257,0.7852914929389954
33,0.9783370494842529,0.005758271086961031,0.00822800025343895,0.7810519337654114
34,0.9780856370925903,0.005121900234371424,0.008140455931425095,0.7803974151611328
35,0.9778924584388733,0.004681688733398914,0.00812097080051899,0.7710474729537964
36,0.9773191809654236,0.004653265234082937,0.007967119105160236,0.7695122361183167
37,0.976757824420929,0.004575283732265234,0.007852581329643726,0.7649310827255249
38,0.976601243019104,0.004333080258220434,0.00776752969250083,0.7527313828468323
39,0.9765675663948059,0.004212301690131426,0.007362054660916328,0.7432163953781128
40,0.975449800491333,0.003804243402555585,0.007327123079448938,0.7418467402458191
41,0.974989652633667,0.0037092724815011024,0.007007785607129335,0.7368659377098083
42,0.9737437963485718,0.0036325512919574976,0.006770632695406675,0.7307752966880798
43,0.9735382199287415,0.0035794880241155624,0.006610938813537359,0.7302300333976746
44,0.9728299975395203,0.0033057592809200287,0.006405563093721867,0.7254146337509155
45,0.9725362062454224,0.0032519714441150427,0.0064044855535030365,0.7228981256484985
46,0.9724447727203369,0.0032017393968999386,0.006353752221912146,0.7220215797424316
47,0.9699183106422424,0.003197559854015708,0.006182187702506781,0.7170006036758423
48,0.9681189060211182,0.002982983598485589,0.0061394828371703625,0.7105454206466675
49,0.9679766893386841,0.002814469626173377,0.00612662173807621,0.7050666809082031
50,0.9679595232009888,0.002711306093260646,0.006111344788223505,0.6954219341278076
51,0.9674519896507263,0.0027072839438915253,0.006067509762942791,0.6920381188392639
52,0.9674025774002075,0.002704404527321458,0.006005540024489164,0.686418354511261
53,0.9663730263710022,0.0026608502957969904,0.0058972653932869434,0.6852143406867981
54,0.9643220901489258,0.0026349585969001055,0.005895867478102446,0.6821105480194092
55,0.9641904234886169,0.0026234190445393324,0.005890325643122196,0.6807088255882263
56,0.961755096912384,0.002606256166473031,0.005828336346894503,0.6803002953529358
57,0.9597563147544861,0.0025875659193843603,0.005801299586892128,0.6802761554718018
58,0.9589542746543884,0.002533090766519308,0.0056784492917358875,0.6719975471496582
59,0.9561065435409546,0.0025227374862879515,0.005615049973130226,0.6714379787445068
60,0.9556201696395874,0.0025090582203119993,0.00552838109433651,0.6673664450645447
61,0.9542278051376343,0.0024934103712439537,0.005475396290421486,0.6662458181381226
62,0.9532615542411804,0.0023631800431758165,0.005426088813692331,0.6645852327346802
63,0.9527674913406372,0.0023367737885564566,0.005357441492378712,0.6628877520561218
64,0.9510926008224487,0.0022998270578682423,0.00527883879840374,0.6590332984924316
65,0.9502810835838318,0.002266446826979518,0.004958018660545349,0.6551623940467834
66,0.9500831365585327,0.0022612977772951126,0.004944176878780127,0.6535274386405945
67,0.9500265121459961,0.0022260143887251616,0.004875785671174526,0.649330735206604
68,0.9497612714767456,0.0021956427954137325,0.004865311086177826,0.6489306092262268
69,0.9478520154953003,0.002149843145161867,0.004795523826032877,0.6422902345657349
70,0.9472034573554993,0.0021131536923348904,0.004794543609023094,0.6392709016799927
71,0.9471108317375183,0.0020086271688342094,0.004501135088503361,0.6388570070266724
72,0.946757972240448,0.0019916663877665997,0.004454439971596003,0.63824862241745
73,0.9462401270866394,0.001991524826735258,0.004382819402962923,0.634052038192749
74,0.9461653232574463,0.001955399289727211,0.0042510670609772205,0.6311484575271606
75,0.9449570775032043,0.0019493023864924908,0.00414828397333622,0.6291530728340149
76,0.9440014362335205,0.0019463921198621392,0.004141318146139383,0.628991961479187
77,0.9434989094734192,0.00194450281560421,0.004141160752624273,0.6272639632225037
78,0.9434877634048462,0.0019440046744421124,0.0041029928252100945,0.626426637172699
79,0.9367270469665527,0.001914558350108564,0.004026805516332388,0.6187081933021545
